Property Number,Date,Brand,Model,Color ,Stolen ,Stolen From,Status,Incident number,Agency
P22093,10/25/2016,SMITH AND WESSON,SD9VE,,Stolen Locally,Vehicle,Not Recovered,B16-42866,BPD
P22183,10/27/2016,TAURUS,PT111G2,BLACK,Stolen Locally,Residence,Not Recovered,B16-43134,BPD
P22497,11/07/2016,SIG SAUER,P290,,Stolen Locally,Vehicle,Not Recovered,B16-44838,BPD
P22910,11/18/2016,TAURUS,85UL,SILVER,Stolen Locally,Residence,Not Recovered,B16-46503,BPD
P23536,12/07/2016,SMITH & WESSON,,,Stolen Locally,Vehicle,Not Recovered,B16-48692,BPD
P23657,12/09/2016,COBRA,.380,BLACK,Stolen Locally,Residence,Not Recovered,B16-49060,BPD
P23882,12/18/2016,,SHOTGUN,BROWN,Stolen Locally,Residence,Not Recovered,B16-50132,BPD
